sku,date,forecast_units,model
SKU-04,2025-01-01,55.36712506738093,Linear Regression
SKU-04,2025-01-02,58.3590748676457,Linear Regression
SKU-04,2025-01-03,61.35102466791047,Linear Regression
SKU-04,2025-01-04,64.34297446817524,Linear Regression
SKU-04,2025-01-05,67.33492426844,Linear Regression
SKU-04,2025-01-06,49.45684350432832,Linear Regression
SKU-04,2025-01-07,52.44879330459308,Linear Regression
SKU-04,2025-01-08,55.44074310485786,Linear Regression
SKU-04,2025-01-09,58.43269290512263,Linear Regression
SKU-04,2025-01-10,61.4246427053874,Linear Regression
SKU-04,2025-01-11,64.41659250565216,Linear Regression
SKU-04,2025-01-12,67.40854230591694,Linear Regression
SKU-04,2025-01-13,49.530461541805245,Linear Regression
SKU-04,2025-01-14,52.52241134207001,Linear Regression
SKU-04,2025-01-15,55.514361142334785,Linear Regression
SKU-04,2025-01-16,58.506310942599555,Linear Regression
SKU-04,2025-01-17,61.498260742864325,Linear Regression
SKU-04,2025-01-18,64.49021054312908,Linear Regression
SKU-04,2025-01-19,67.48216034339386,Linear Regression
SKU-04,2025-01-20,49.60407957928217,Linear Regression
SKU-04,2025-01-21,52.596029379546934,Linear Regression
SKU-04,2025-01-22,55.58797917981171,Linear Regression
SKU-04,2025-01-23,58.57992898007648,Linear Regression
SKU-04,2025-01-24,61.57187878034125,Linear Regression
SKU-04,2025-01-25,64.56382858060601,Linear Regression
SKU-04,2025-01-26,67.55577838087079,Linear Regression
SKU-04,2025-01-27,49.6776976167591,Linear Regression
SKU-04,2025-01-28,52.66964741702386,Linear Regression
SKU-04,2025-01-29,55.66159721728864,Linear Regression
SKU-05,2024-12-31,58.600992277009496,Seasonal Baseline
SKU-05,2025-01-01,64.13000561637897,Seasonal Baseline
SKU-05,2025-01-02,65.56269792407129,Seasonal Baseline
SKU-05,2025-01-03,77.51462100099435,Seasonal Baseline
SKU-05,2025-01-04,92.01462100099435,Seasonal Baseline
SKU-05,2025-01-05,80.58073852333622,Seasonal Baseline
SKU-05,2025-01-06,60.11407185666957,Seasonal Baseline
SKU-05,2025-01-07,58.673779122601175,Seasonal Baseline
SKU-05,2025-01-08,64.1545483533704,Seasonal Baseline
SKU-05,2025-01-09,65.58724066106272,Seasonal Baseline
SKU-05,2025-01-10,77.53916373798579,Seasonal Baseline
SKU-05,2025-01-11,92.03916373798579,Seasonal Baseline
SKU-05,2025-01-12,80.60528126032767,Seasonal Baseline
SKU-05,2025-01-13,60.138614593661,Seasonal Baseline
SKU-05,2025-01-14,58.69832185959261,Seasonal Baseline
SKU-05,2025-01-15,64.17909109036184,Seasonal Baseline
SKU-05,2025-01-16,65.61178339805416,Seasonal Baseline
SKU-05,2025-01-17,77.56370647497722,Seasonal Baseline
SKU-05,2025-01-18,92.06370647497722,Seasonal Baseline
SKU-05,2025-01-19,80.62982399731911,Seasonal Baseline
SKU-05,2025-01-20,60.16315733065244,Seasonal Baseline
SKU-05,2025-01-21,58.722864596584046,Seasonal Baseline
SKU-05,2025-01-22,64.20363382735329,Seasonal Baseline
SKU-05,2025-01-23,65.63632613504559,Seasonal Baseline
SKU-05,2025-01-24,77.58824921196866,Seasonal Baseline
SKU-05,2025-01-25,92.08824921196866,Seasonal Baseline
SKU-05,2025-01-26,80.65436673431054,Seasonal Baseline
SKU-05,2025-01-27,60.187700067643874,Seasonal Baseline
SKU-05,2025-01-28,58.74740733357548,Seasonal Baseline
SKU-05,2025-01-29,64.22817656434472,Seasonal Baseline
SKU-06,2024-12-31,41.413815012438334,Seasonal + Promo
SKU-06,2025-01-01,41.56247540733939,Seasonal + Promo
SKU-06,2025-01-02,44.56247540733939,Seasonal + Promo
SKU-06,2025-01-03,53.293244638108625,Seasonal + Promo
SKU-06,2025-01-04,62.17786002272401,Seasonal + Promo
SKU-06,2025-01-05,54.826577855490136,Seasonal + Promo
SKU-06,2025-01-06,43.15991118882347,Seasonal + Promo
SKU-06,2025-01-07,39.77126638422697,Seasonal + Promo
SKU-06,2025-01-08,41.59818946115005,Seasonal + Promo
SKU-06,2025-01-09,44.59818946115005,Seasonal + Promo
SKU-06,2025-01-10,53.328958691919276,Seasonal + Promo
SKU-06,2025-01-11,62.21357407653466,Seasonal + Promo
SKU-06,2025-01-12,54.862291909300794,Seasonal + Promo
SKU-06,2025-01-13,43.19562524263413,Seasonal + Promo
SKU-06,2025-01-14,39.80698043803762,Seasonal + Promo
SKU-06,2025-01-15,41.6339035149607,Seasonal + Promo
SKU-06,2025-01-16,44.6339035149607,Seasonal + Promo
SKU-06,2025-01-17,53.36467274572993,Seasonal + Promo
SKU-06,2025-01-18,62.24928813034531,Seasonal + Promo
SKU-06,2025-01-19,54.898005963111444,Seasonal + Promo
SKU-06,2025-01-20,43.23133929644478,Seasonal + Promo
SKU-06,2025-01-21,39.842694491848285,Seasonal + Promo
SKU-06,2025-01-22,41.66961756877136,Seasonal + Promo
SKU-06,2025-01-23,44.66961756877136,Seasonal + Promo
SKU-06,2025-01-24,53.400386799540584,Seasonal + Promo
SKU-06,2025-01-25,62.285002184155964,Seasonal + Promo
SKU-06,2025-01-26,54.9337200169221,Seasonal + Promo
SKU-06,2025-01-27,43.26705335025544,Seasonal + Promo
SKU-06,2025-01-28,39.878408545658935,Seasonal + Promo
SKU-06,2025-01-29,41.70533162258201,Seasonal + Promo
